Date,cms
1/1/2008,12.120
1/2/2008,11.695
1/3/2008,11.298
1/4/2008,9.826
1/5/2008,7.872
1/6/2008,6.201
1/7/2008,4.984
1/8/2008,4.191
1/9/2008,3.681
1/10/2008,3.426
1/11/2008,3.370
1/12/2008,3.426
1/13/2008,3.568
1/14/2008,3.596
1/15/2008,3.568
1/16/2008,5.097
1/17/2008,12.403
1/18/2008,12.912
1/19/2008,12.714
1/20/2008,20.077
1/21/2008,18.746
1/22/2008,16.197
1/23/2008,14.781
1/24/2008,23.758
1/25/2008,41.059
1/26/2008,49.554
1/27/2008,52.669
1/28/2008,45.024
1/29/2008,37.378
1/30/2008,38.511
1/31/2008,43.325
2/1/2008,72.491
2/2/2008,83.535
2/3/2008,77.871
2/4/2008,63.430
2/5/2008,55.784
2/6/2008,53.236
2/7/2008,51.820
2/8/2008,47.289
2/9/2008,43.042
2/10/2008,39.360
2/11/2008,37.095
2/12/2008,31.149
2/13/2008,25.570
2/14/2008,24.891
2/15/2008,23.503
2/16/2008,24.551
2/17/2008,54.368
2/18/2008,84.101
2/19/2008,102.790
2/20/2008,106.755
2/21/2008,108.454
2/22/2008,112.701
2/23/2008,116.099
2/24/2008,123.178
2/25/2008,138.469
2/26/2008,172.733
2/27/2008,256.551
2/28/2008,256.834
2/29/2008,197.652
3/1/2008,146.115
3/2/2008,112.135
3/3/2008,87.216
3/4/2008,64.562
3/5/2008,41.626
3/6/2008,27.779
3/7/2008,22.738
3/8/2008,23.928
3/9/2008,27.184
3/10/2008,28.883
3/11/2008,41.343
3/12/2008,55.784
3/13/2008,55.784
3/14/2008,50.687
3/15/2008,44.174
3/16/2008,40.776
3/17/2008,38.511
3/18/2008,36.529
3/19/2008,33.697
3/20/2008,27.977
3/21/2008,20.275
3/22/2008,14.810
3/23/2008,11.751
3/24/2008,9.996
3/25/2008,9.061
3/26/2008,8.382
3/27/2008,7.787
3/28/2008,7.277
3/29/2008,6.824
3/30/2008,6.456
3/31/2008,6.145
4/1/2008,5.890
4/2/2008,5.635
4/3/2008,6.371
4/4/2008,10.562
4/5/2008,18.151
4/6/2008,24.466
4/7/2008,29.733
4/8/2008,35.113
4/9/2008,39.644
4/10/2008,40.493
4/11/2008,36.812
4/12/2008,34.547
4/13/2008,31.998
4/14/2008,25.797
4/15/2008,16.084
4/16/2008,9.373
4/17/2008,6.683
4/18/2008,5.635
4/19/2008,5.154
4/20/2008,4.757
4/21/2008,4.417
4/22/2008,4.078
4/23/2008,5.210
4/24/2008,13.139
4/25/2008,16.169
4/26/2008,21.323
4/27/2008,21.691
4/28/2008,24.069
4/29/2008,24.126
4/30/2008,20.105
5/1/2008,14.781
5/2/2008,10.336
5/3/2008,7.759
5/4/2008,18.349
5/5/2008,17.585
5/6/2008,9.883
5/7/2008,6.230
5/8/2008,5.069
5/9/2008,4.502
5/10/2008,4.134
5/11/2008,3.766
5/12/2008,3.398
5/13/2008,3.143
5/14/2008,3.285
5/15/2008,12.629
5/16/2008,26.023
5/17/2008,19.878
5/18/2008,16.084
5/19/2008,14.243
5/20/2008,15.574
5/21/2008,19.142
5/22/2008,25.542
5/23/2008,33.131
5/24/2008,38.228
5/25/2008,33.980
5/26/2008,17.613
5/27/2008,6.796
5/28/2008,3.851
5/29/2008,2.917
5/30/2008,2.602
5/31/2008,2.421
6/1/2008,2.330
6/2/2008,2.206
6/3/2008,2.554
6/4/2008,2.775
6/5/2008,2.469
6/6/2008,2.110
6/7/2008,1.826
6/8/2008,1.620
6/9/2008,1.470
6/10/2008,1.359
6/11/2008,1.266
6/12/2008,1.161
6/13/2008,1.102
6/14/2008,1.031
6/15/2008,0.994
6/16/2008,0.946
6/17/2008,0.889
6/18/2008,0.869
6/19/2008,1.116
6/20/2008,1.342
6/21/2008,1.274
6/22/2008,4.446
6/23/2008,4.332
6/24/2008,2.328
6/25/2008,1.583
6/26/2008,1.450
6/27/2008,1.475
6/28/2008,1.402
6/29/2008,1.314
6/30/2008,1.402
7/1/2008,1.945
7/2/2008,1.770
7/3/2008,1.676
7/4/2008,1.504
7/5/2008,1.390
7/6/2008,1.286
7/7/2008,1.184
7/8/2008,1.130
7/9/2008,1.051
7/10/2008,1.036
7/11/2008,1.076
7/12/2008,1.119
7/13/2008,1.005
7/14/2008,0.968
7/15/2008,1.096
7/16/2008,0.994
7/17/2008,0.940
7/18/2008,0.917
7/19/2008,0.889
7/20/2008,0.872
7/21/2008,0.858
7/22/2008,0.898
7/23/2008,0.883
7/24/2008,0.895
7/25/2008,0.974
7/26/2008,0.934
7/27/2008,0.915
7/28/2008,0.909
7/29/2008,0.883
